figure,factor,curve_name,x_value,x_units,y_value,y_units,source_page,digitization_method,notes
Figure 9,GHr,H_ft=6,4.958092,in,1.076173,dimensionless,PDF page 24 / API page 18,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 9,GHr,H_ft=6,6.0,in,1.085548,dimensionless,PDF page 24 / API page 18,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x
Figure 9,GHr,H_ft=6,6.281017,in,1.086748,dimensionless,PDF page 24 / API page 18,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 9,GHr,H_ft=6,7.603943,in,1.084544,dimensionless,PDF page 24 / API page 18,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 9,GHr,H_ft=6,8.0,in,1.081442,dimensionless,PDF page 24 / API page 18,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x
Figure 9,GHr,H_ft=6,8.926868,in,1.069772,dimensionless,PDF page 24 / API page 18,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 9,GHr,H_ft=6,9.948005,in,1.048585,dimensionless,PDF page 24 / API page 18,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=endpoint/control
Figure 9,GHr,H_ft=6,10.0,in,1.047295,dimensionless,PDF page 24 / API page 18,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x
Figure 9,GHr,H_ft=6,10.249793,in,1.041186,dimensionless,PDF page 24 / API page 18,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 9,GHr,H_ft=6,11.572718,in,1.010798,dimensionless,PDF page 24 / API page 18,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 9,GHr,H_ft=6,12.0,in,1.001302,dimensionless,PDF page 24 / API page 18,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x
Figure 9,GHr,H_ft=6,12.75,in,0.984063,dimensionless,PDF page 24 / API page 18,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=annex_control_x
Figure 9,GHr,H_ft=6,12.895644,in,0.980768,dimensionless,PDF page 24 / API page 18,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 9,GHr,H_ft=6,14.218569,in,0.951739,dimensionless,PDF page 24 / API page 18,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 9,GHr,H_ft=6,15.541494,in,0.924173,dimensionless,PDF page 24 / API page 18,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 9,GHr,H_ft=6,16.86442,in,0.899126,dimensionless,PDF page 24 / API page 18,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 9,GHr,H_ft=6,18.0,in,0.879038,dimensionless,PDF page 24 / API page 18,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x
Figure 9,GHr,H_ft=6,18.187345,in,0.87561,dimensionless,PDF page 24 / API page 18,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 9,GHr,H_ft=6,19.51027,in,0.85154,dimensionless,PDF page 24 / API page 18,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 9,GHr,H_ft=6,20.833195,in,0.82858,dimensionless,PDF page 24 / API page 18,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 9,GHr,H_ft=6,22.156121,in,0.806598,dimensionless,PDF page 24 / API page 18,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 9,GHr,H_ft=6,23.479046,in,0.785519,dimensionless,PDF page 24 / API page 18,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 9,GHr,H_ft=6,24.0,in,0.777475,dimensionless,PDF page 24 / API page 18,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x
Figure 9,GHr,H_ft=6,24.801971,in,0.765742,dimensionless,PDF page 24 / API page 18,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 9,GHr,H_ft=6,26.124897,in,0.747022,dimensionless,PDF page 24 / API page 18,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 9,GHr,H_ft=6,27.447822,in,0.72856,dimensionless,PDF page 24 / API page 18,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 9,GHr,H_ft=6,28.770747,in,0.710974,dimensionless,PDF page 24 / API page 18,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 9,GHr,H_ft=6,30.093672,in,0.694161,dimensionless,PDF page 24 / API page 18,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 9,GHr,H_ft=6,31.416598,in,0.678281,dimensionless,PDF page 24 / API page 18,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 9,GHr,H_ft=6,32.739523,in,0.662788,dimensionless,PDF page 24 / API page 18,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 9,GHr,H_ft=6,34.0,in,0.64846,dimensionless,PDF page 24 / API page 18,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x
Figure 9,GHr,H_ft=6,34.062448,in,0.647766,dimensionless,PDF page 24 / API page 18,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 9,GHr,H_ft=6,35.385374,in,0.633398,dimensionless,PDF page 24 / API page 18,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 9,GHr,H_ft=6,36.708299,in,0.619679,dimensionless,PDF page 24 / API page 18,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 9,GHr,H_ft=6,38.031224,in,0.606619,dimensionless,PDF page 24 / API page 18,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 9,GHr,H_ft=6,39.354149,in,0.594253,dimensionless,PDF page 24 / API page 18,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 9,GHr,H_ft=6,40.677075,in,0.58327,dimensionless,PDF page 24 / API page 18,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 9,GHr,H_ft=6,42.0,in,0.5737,dimensionless,PDF page 24 / API page 18,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=endpoint/control;spreadsheet_x;uniform_sample
