figure,factor,curve_name,x_value,x_units,y_value,y_units,source_page,digitization_method,notes
Figure 12,GLr,H_ft=14,15.267689,in,0.482787,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 12,GLr,H_ft=14,16.603229,in,0.466125,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 12,GLr,H_ft=14,17.93877,in,0.451602,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 12,GLr,H_ft=14,19.27431,in,0.436844,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 12,GLr,H_ft=14,20.60985,in,0.422165,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 12,GLr,H_ft=14,21.945391,in,0.407562,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 12,GLr,H_ft=14,23.280931,in,0.392913,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 12,GLr,H_ft=14,24.616471,in,0.378553,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 12,GLr,H_ft=14,25.952011,in,0.364516,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 12,GLr,H_ft=14,26.0,in,0.364012,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x
Figure 12,GLr,H_ft=14,27.287552,in,0.350157,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 12,GLr,H_ft=14,28.623092,in,0.336061,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 12,GLr,H_ft=14,29.958632,in,0.322268,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 12,GLr,H_ft=14,31.294172,in,0.308037,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 12,GLr,H_ft=14,32.629713,in,0.293821,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 12,GLr,H_ft=14,33.965253,in,0.279631,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 12,GLr,H_ft=14,35.300793,in,0.265116,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 12,GLr,H_ft=14,36.636333,in,0.250917,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 12,GLr,H_ft=14,37.971874,in,0.237071,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 12,GLr,H_ft=14,39.307414,in,0.228675,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 12,GLr,H_ft=14,40.642954,in,0.21694,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 12,GLr,H_ft=14,41.978495,in,0.204548,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=endpoint/control;uniform_sample
Figure 12,GLr,H_ft=6,2.067807,in,2.274045,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=endpoint/control;uniform_sample
Figure 12,GLr,H_ft=6,3.398164,in,1.689729,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 12,GLr,H_ft=6,4.0,in,1.536325,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x
Figure 12,GLr,H_ft=6,4.72852,in,1.403925,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 12,GLr,H_ft=6,5.441632,in,1.316295,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=endpoint/control
Figure 12,GLr,H_ft=6,6.0,in,1.26056,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x
Figure 12,GLr,H_ft=6,6.058876,in,1.255423,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 12,GLr,H_ft=6,7.389232,in,1.159254,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 12,GLr,H_ft=6,8.0,in,1.12589,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x
Figure 12,GLr,H_ft=6,8.719589,in,1.091744,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 12,GLr,H_ft=6,10.0,in,1.043968,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x
Figure 12,GLr,H_ft=6,10.049945,in,1.042394,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 12,GLr,H_ft=6,11.380301,in,1.007818,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 12,GLr,H_ft=6,11.40438,in,1.007383,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=endpoint/control
Figure 12,GLr,H_ft=6,12.0,in,0.993222,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x
Figure 12,GLr,H_ft=6,12.710657,in,0.977689,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 12,GLr,H_ft=6,12.75,in,0.976824,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=annex_control_x
Figure 12,GLr,H_ft=6,14.041014,in,0.948764,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 12,GLr,H_ft=6,15.37137,in,0.919955,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 12,GLr,H_ft=6,16.701726,in,0.892021,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 12,GLr,H_ft=6,18.032082,in,0.864832,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 12,GLr,H_ft=6,19.362439,in,0.837357,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 12,GLr,H_ft=6,20.692795,in,0.810226,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 12,GLr,H_ft=6,22.023151,in,0.783409,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 12,GLr,H_ft=6,23.353507,in,0.756661,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 12,GLr,H_ft=6,24.683863,in,0.730312,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 12,GLr,H_ft=6,26.0,in,0.704801,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x
Figure 12,GLr,H_ft=6,26.01422,in,0.704521,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 12,GLr,H_ft=6,27.344576,in,0.678296,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 12,GLr,H_ft=6,28.674932,in,0.652741,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 12,GLr,H_ft=6,30.005288,in,0.627822,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 12,GLr,H_ft=6,31.335645,in,0.602237,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 12,GLr,H_ft=6,32.666001,in,0.576831,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 12,GLr,H_ft=6,33.996357,in,0.551603,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 12,GLr,H_ft=6,35.326713,in,0.525916,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 12,GLr,H_ft=6,36.65707,in,0.500953,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 12,GLr,H_ft=6,37.987426,in,0.474311,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 12,GLr,H_ft=6,39.317782,in,0.447285,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 12,GLr,H_ft=6,40.648138,in,0.418907,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 12,GLr,H_ft=6,41.978495,in,0.389219,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=endpoint/control;uniform_sample
