figure,factor,curve_name,x_value,x_units,y_value,y_units,source_page,digitization_method,notes
Figure 13,NL,H_ft=6,4.938276,in,1.029153,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 13,NL,H_ft=6,6.261909,in,1.027578,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 13,NL,H_ft=6,7.585542,in,1.026082,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 13,NL,H_ft=6,8.909175,in,1.024673,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 13,NL,H_ft=6,10.232808,in,1.023247,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 13,NL,H_ft=6,11.556441,in,1.021799,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 13,NL,H_ft=6,12.75,in,1.020467,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=annex_control_x
Figure 13,NL,H_ft=6,12.880074,in,1.020322,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 13,NL,H_ft=6,14.203707,in,1.01888,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 13,NL,H_ft=6,14.238,in,1.018843,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x
Figure 13,NL,H_ft=6,15.52734,in,1.017447,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 13,NL,H_ft=6,16.850973,in,1.016015,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 13,NL,H_ft=6,18.174606,in,1.014528,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 13,NL,H_ft=6,19.498239,in,1.013056,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 13,NL,H_ft=6,20.821872,in,1.011613,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 13,NL,H_ft=6,22.145505,in,1.010214,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 13,NL,H_ft=6,23.469138,in,1.00876,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
